;;;;;;;;;;;;;;;Datafolha;16000;
eleicoes 2014;;;;;;BRASIL IBOPE 02 a04 outubro;;ERRO;;;3010;;;;;;
;; BRASIL ;;;;;;;;;;;;;;;
Dilma;PT; 43,267,668 ;41.6%;37.6%;;40%;45.5%;-3.9%;;NO/CO;448;;;;40;44.9%;-3.3%
Aecio;PSDB; 34,897,211 ;33.5%;30.3%;;24%;27.3%;6.3%;;NE;788;;;;24;27.0%;6.6%
Marina;PSB; 22,176,619 ;21.3%;19.3%;;21%;23.9%;-2.5%;;SE;1345;;;;22;24.7%;-3.4%
Luciana Genro;PSOL; 1,612,186 ;1.5%;1.4%;;1%;1.1%;0.4%;;SU;429;;;;1;1.1%;0.4%
Everaldo;PSC; 780,513 ;0.8%;0.7%;;1%;1.1%;-0.4%;;;;;;;1;1.1%;-0.4%
Eduado Jorge;PV; 630,099 ;0.6%;0.5%;;1%;1.1%;-0.5%;;;;;;;1;1.1%;-0.5%
Levy Fidelix;PRTB; 446,878 ;0.4%;0.4%;;0%;0.0%;0.4%;;;;;;;0;0.0%;0.4%
Demais;; 212,628 ;0.2%;0.2%;;0%;0.0%;0.2%;;;;;;;0;0.0%;0.2%
;;;;;;;;;;;;;;;;;
Votos Validos;; 104,023,802 ;72.8%;90.4%;;88%;;;;;;;;;89;;
;;;;;;;;;;;;;;;;;
Brancos;; 4,420,489 ;3.8%;;;;;;;;;;;;;;
nulos;; 6,678,592 ;5.8%;;;;;;;;;;;;;;
brancos + nulos;; 11,099,081 ;9.6%;9.6%;;7%;;;;;;;;;4;;
Comparecimento;; 115,122,883 ;80.6%;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Eleitores;; 142,822,046 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Ausentes;; 27,699,163 ;19.4%;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;TOTAL GERAL;TOTAL BZ;NO/CO;NO;CO;SUL;SE;NE;Ext + transito;;;;;;;
;Dilma; 43,267,668 ; 43,229,447 ; 6,584,047 ; 4,062,647 ; 2,521,400 ; 5,864,291 ; 14,380,971 ; 16,400,138 ; 38,221 ;;;;;;;
;Aecio; 34,897,211 ; 34,792,002 ; 5,442,526 ; 2,282,132 ; 3,160,394 ; 7,617,010 ; 17,506,455 ; 4,226,011 ; 105,209 ;;;;;;;
;Marina; 22,176,619 ; 22,125,424 ; 3,329,799 ; 1,517,099 ; 1,812,700 ; 2,068,432 ; 10,473,977 ; 6,253,216 ; 51,195 ;;;;;;;
;Luciana Genro; 1,612,186 ; 1,606,508 ; 153,913 ; 71,441 ; 82,472 ; 275,565 ; 940,087 ; 236,943 ; 5,678 ;;;;;;;
;Everaldo; 780,513 ; 779,393 ; 159,649 ; 114,503 ; 45,146 ; 97,320 ; 362,538 ; 159,886 ; 1,120 ;;;;;;;
;Eduado Jorge; 630,099 ; 627,053 ; 62,857 ; 23,039 ; 39,818 ; 118,440 ; 370,905 ; 74,851 ; 3,046 ;;;;;;;
;Levy Fidelix; 446,878 ; 446,272 ; 67,415 ; 30,687 ; 36,728 ; 67,302 ; 236,154 ; 75,401 ; 606 ;;;;;;;
;Demais; 212,628 ; 211,258 ; 25,342 ; 12,742 ; 12,600 ; 29,256 ; 107,653 ; 49,007 ; 1,370 ;;;;;;;
;;;;;;;;;;;;;;;;;
;; 104,023,802 ; 103,817,357 ; 15,825,548 ; 8,114,290 ; 7,711,258 ; 16,137,616 ; 44,378,740 ; 27,475,453 ; 206,445 ;;;;;;;
;;;;;;;;;;;;;;;;;
;;; 206,445 ;;;;;;;;;;;;;;
